p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.759126260798439e-12,0.40971608545349036,0.309,0.155,1.0095642988261488e-7,6,PPA2
2.9116709043819355e-12,0.5571039354736123,0.286,0.148,1.0653803839133502e-7,6,CAMTA2
2.9183322425296865e-12,0.3746008601097254,0.437,0.244,1.0678177675416123e-7,6,AAMP
3.0311309018316024e-12,0.41981781055119627,0.384,0.203,1.1090907969801833e-7,6,TCEB1
3.128164394183841e-12,0.5481986653743072,0.261,0.129,1.1445953518318674e-7,6,ANKFY1
3.268940673706311e-12,0.39941588226247204,0.325,0.163,1.1961053925091392e-7,6,TRAPPC3
3.4234837187341327e-12,0.2861800488967572,0.423,0.234,1.2526526926848192e-7,6,FKBP1C
3.489875055606717e-12,0.3665085231052928,0.348,0.183,1.2769452828464978e-7,6,PNPLA8
3.963940287121659e-12,0.3181972435833478,0.487,0.273,1.450405751057815e-7,6,NMT1
3.9965808440456385e-12,0.36817877600339444,0.3,0.152,1.4623489308362991e-07,6,SCYL2
4.045430657129145e-12,0.44434175960178934,0.625,0.349,1.4802230774435543e-7,6,UBL5
4.177103107849689e-12,0.39101560900072396,0.389,0.202,1.5284020271622012e-7,6,C18orf32
4.275024778621628e-12,0.5538137339298287,0.254,0.124,1.5642315664976536e-7,6,GNL2
4.2938985700402554e-12,0.25892555280743346,0.581,0.329,1.5711374867777295e-7,6,STT3A
4.295896971484581e-12,0.4308532057062948,0.449,0.24,1.571868701866208e-7,6,ATP5I
4.311218049224408e-12,0.38888644110221865,0.357,0.186,1.5774746842112108e-7,6,WDR45B
4.36117808533254e-12,0.31772369669070866,0.467,0.26,1.5957550614231764e-7,6,RNF114
4.57256454922117e-12,0.39476111682656734,0.565,0.319,1.673101368560026e-7,6,DNAJB11
5.076383757796066e-12,0.40183983170424087,0.394,0.211,1.8574488169775805e-7,6,RAB2A
5.53468382236133e-12,0.2621134442557286,0.6,0.338,2.0251408106020108e-7,6,DNAJC3
5.6847859752906515e-12,0.41638292088101925,0.286,0.145,2.0800631883588494e-7,6,SLFN11
5.832223592960872e-12,0.336262933389915,0.606,0.343,2.1340106126643832e-7,6,PARP9
5.898614929833457e-12,0.38467291535983233,0.478,0.266,2.1583032028260618e-7,6,GABARAPL1
5.9610094638173905e-12,0.45774195064628054,0.691,0.379,2.1811333628107832e-7,6,COX8A
5.990319351667495e-12,0.3300871885948111,0.304,0.153,2.1918578507751363e-7,6,GLTP
6.111999795166412e-12,0.379915509012713,0.449,0.239,2.23638072505139e-7,6,LAMTOR5
6.326716928128917e-12,0.33681346403592316,0.309,0.154,2.3149457240023708e-7,6,ASNA1
6.403988450642828e-12,0.3057706826193407,0.636,0.37,2.3432193740902107e-7,6,EIF1B
6.460609824898711e-12,0.4669081764718574,0.346,0.179,2.3639371349304383e-7,6,GTF3C6
6.48836540051434e-12,0.4610034547129688,0.469,0.279,2.374092900048197e-7,6,PABPN1
6.80921985463101e-12,0.353875835663724,0.398,0.218,2.4914935448094866e-7,6,PLEKHG2
6.88071821741687e-12,0.4660681012639639,0.3,0.151,2.517654795752833e-7,6,THOC7
6.952882714017505e-12,0.5817699238754026,0.286,0.144,2.544059785059005e-7,6,AREG
7.146949698721983e-12,0.26457271956334477,0.584,0.344,2.6150688947623735e-7,6,RAPGEF1
7.316147687674857e-12,0.3709163053344544,0.403,0.232,2.67697843892023e-7,6,FOXN2
7.443157201691974e-12,0.401360835955175,0.778,0.467,2.7234512200990935e-7,6,TNFRSF1B
7.496225862269057e-12,0.41899709463280255,0.38,0.211,2.742869043004248e-7,6,AP3B1
7.73203723269944e-12,0.5559176129611553,0.254,0.124,2.829152423444725e-7,6,TMEM70
7.765788012648045e-12,0.3630160790043148,0.437,0.236,2.8415018338279197e-7,6,SEC13
7.970291093783999e-12,0.3868005539359989,0.332,0.179,2.916329511215565e-7,6,DPH1
8.075984325728314e-12,0.4508166055070608,0.309,0.161,2.95500266478399e-7,6,ELK3
8.144818153255073e-12,0.4801470384876997,0.288,0.148,2.9801889622760314e-7,6,TM9SF4
8.457901046199368e-12,0.5434886922200006,0.279,0.143,3.0947459928043486e-7,6,MTMR3
9.26081433760828e-12,0.3587578653639003,0.737,0.429,3.38853196613087e-7,6,CANX
9.370060283231396e-12,0.5141578242706475,0.27,0.133,3.428505057634368e-7,6,MRPL55
9.382938870317048e-12,0.37303614640401106,0.691,0.414,3.433217332649008e-7,6,TMBIM4
1.0140999151531105e-11,0.47226581987180677,0.403,0.22,3.7105915895452313e-7,6,PET100
1.024935691873452e-11,0.46696566804230066,0.771,0.443,3.750239696564961e-7,6,PRDX1
1.0261569372005397e-11,0.5305145254270169,0.268,0.136,3.7547082332167747e-7,6,SEC63
